"Manufacturer","Core_Speed","Max_Power","Memory_Type","Memory","Memory_Bandwidth","Memory_Speed","Memory_Bus","Process","ROPs","TMUs","Notebook_GPU"
"Nvidia",738,141,"GDDR3",1024,64,1000,256,55,16,64,FALSE
"AMD",980,215,"GDDR3",512,106,828,512,80,16,16,FALSE
"AMD",980,200,"GDDR3",512,51.2,800,256,80,16,16,FALSE
"AMD",980,106,"GDDR4",256,36.8,1150,128,65,4,8,FALSE
"AMD",980,45,"GDDR3",256,22.4,700,128,65,4,8,FALSE
"AMD",980,50,"GDDR4",256,35.2,1100,128,65,4,8,FALSE
"AMD",870,190,"GDDR5",2048,134.4,1050,256,55,16,40,FALSE
"AMD",980,150,"GDDR3",256,51.2,800,256,80,12,12,FALSE
"AMD",980,150,"GDDR5",2048,160,1250,256,28,32,80,FALSE
"Nvidia",650,250,"GDDR5",6144,177.6,925,384,40,48,56,FALSE
"Nvidia",705,225,"GDDR5",5120,168,1050,320,28,32,56,FALSE
"Nvidia",706,245,"GDDR5",12288,288.4,1502,384,28,48,240,FALSE
"AMD",1050,150,"DDR3",3072,57.6,900,128,28,16,28,FALSE
"Nvidia",980,300,"GDDR5",8192,320,1250,512,28,32,56,FALSE
"Nvidia",732,235,"GDDR5",6144,249.6,1300,384,28,32,56,FALSE
"Intel",300,28,"DDR4",2048,34.1,1067,128,14,2,8,TRUE
"Nvidia",575,238,"GDDR5",6144,144,750,384,40,32,56,FALSE
"Nvidia",575,247,"GDDR5",6144,144,750,384,40,32,56,FALSE
"Intel",300,15,"DDR4",2048,34.1,1067,128,14,2,8,TRUE
"Nvidia",575,238,"GDDR5",3072,144,750,384,40,32,56,FALSE
"Intel",300,28,"DDR4",2048,34.1,1067,128,14,2,8,TRUE
"Intel",300,15,"DDR4",2048,34.1,1067,128,14,2,8,TRUE
"Intel",200,15,"DDR3",2048,25.6,800,128,22,4,8,TRUE
"Intel",300,47,"DDR3",2048,29.9,933,128,14,2,8,TRUE
"Intel",300,28,"DDR4",2048,34.1,1067,128,14,2,8,TRUE
"Intel",300,15,"DDR4",2048,34.1,1067,128,14,2,8,TRUE
"Intel",300,28,"DDR4",2048,34.1,1067,128,14,2,8,TRUE
"Intel",300,15,"DDR4",2048,34.1,1067,128,14,2,8,TRUE
"Intel",300,47,"DDR3",2048,29.9,933,128,14,2,8,TRUE
"Intel",300,47,"DDR3",2048,25.6,800,128,14,2,8,TRUE
"Nvidia",980,250,"GDDR5X",2048,480,1250,384,16,96,224,FALSE
"Intel",300,47,"DDR3",2048,29.9,933,128,14,2,8,TRUE
"Intel",300,47,"DDR3",2048,29.9,933,128,14,2,8,TRUE
"Nvidia",980,250,"GDDR5X",12288,547.2,1425,96,16,96,56,FALSE
"Nvidia",837,250,"GDDR5",6144,288.4,1502,384,28,48,224,FALSE
"Nvidia",705,375,"GDDR5",12288,672,1750,384,28,96,240,FALSE
"Nvidia",980,375,"GDDR5",12288,672,1750,384,28,96,240,FALSE
"Nvidia",705,375,"GDDR5",12288,672,1750,384,28,96,240,FALSE
"Nvidia",980,375,"GDDR5",12288,672,1750,384,28,96,240,FALSE
"Nvidia",1140,250,"GDDR5",12288,336.6,1753,384,28,96,192,FALSE
"Nvidia",1127,106,"GDDR5",24576,673.2,1753,384,28,192,192,FALSE
"Nvidia",902,106,"GDDR5",6144,317.2,1652,384,28,48,224,FALSE
"Nvidia",1000,250,"GDDR5",12288,336.6,1753,384,28,96,192,FALSE
"Nvidia",1127,250,"GDDR5",12288,336.6,1753,384,28,96,192,FALSE
"Nvidia",928,265,"GDDR5",6144,288.4,1502,384,28,48,224,FALSE
"Nvidia",1000,300,"HBM-2",12288,384,500,3072,16,96,320,FALSE
"Nvidia",837,250,"GDDR5",6144,288.4,1502,384,28,48,224,FALSE
"Nvidia",1000,375,"HBM-2",16384,512,500,4096,16,128,320,FALSE
"Nvidia",837,250,"GDDR5",6144,288.4,1502,384,28,48,224,FALSE
"Nvidia",937,265,"GDDR5",6144,288.4,1502,384,28,48,224,FALSE
"Nvidia",837,250,"GDDR5",6144,288.4,1502,384,28,48,224,FALSE
"Nvidia",889,250,"GDDR5",6144,336,1750,384,28,48,240,FALSE
"AMD",980,106,"DDR3",2048,28.8,900,128,32,8,48,FALSE
"Nvidia",837,250,"GDDR5",6144,288.4,1502,384,28,48,224,FALSE
"Nvidia",837,250,"GDDR5",6144,288.4,1502,384,28,48,224,FALSE
"AMD",980,106,"DDR3",2048,28.8,900,128,28,32,56,FALSE
"AMD",980,106,"DDR3",1024,28.8,900,128,28,32,56,FALSE
"AMD",980,106,"DDR3",1024,28.8,900,128,28,32,56,FALSE
"AMD",980,47,"DDR2",128,44.8,700,256,150,8,8,FALSE
"AMD",980,106,"GDDR4",512,72,1125,256,28,32,56,FALSE
"AMD",980,106,"GDDR3",1024,41.6,650,256,28,32,56,FALSE
"AMD",980,106,"GDDR3",256,28.8,450,256,28,32,56,FALSE
"AMD",980,106,"GDDR4",1024,111.1,868,512,28,32,56,FALSE
"AMD",980,106,"GDDR4",512,35.2,1100,128,28,32,56,FALSE
"AMD",980,106,"GDDR3",512,51.2,800,256,28,32,56,FALSE
"AMD",980,106,"GDDR3",256,16,500,128,28,32,56,FALSE
"AMD",980,106,"DDR2",256,6.4,400,64,28,32,56,FALSE
"AMD",980,106,"DDR2",128,6.4,400,64,28,32,56,FALSE
"AMD",980,106,"GDDR3",128,16,500,128,28,32,56,FALSE
"AMD",980,290,"GDDR5",16384,320,1250,512,28,64,176,FALSE
"AMD",980,225,"GDDR5",4096,176,1375,256,28,32,56,FALSE
"AMD",980,75,"GDDR5",2048,102.4,800,256,28,32,56,FALSE
"AMD",980,274,"GDDR5",6144,264,1375,384,28,32,128,FALSE
